"108年10月 2330 台積電           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"108/10/01","75,248,890","20,886,838,992","273.00","280.50","273.00","280.00","+8.00","26,648",
"108/10/02","30,572,953","8,553,297,334","280.00","281.00","279.00","279.50","-0.50","12,294",
"108/10/03","35,874,864","9,891,620,358","274.00","277.50","274.00","276.50","-3.00","12,853",
"108/10/04","35,814,613","9,924,872,301","279.50","280.00","275.00","276.50"," 0.00","13,780",
"108/10/07","17,750,230","4,944,376,000","279.00","279.50","277.50","278.00","+1.50","7,757",
"108/10/08","39,868,551","11,341,522,526","283.50","286.50","282.50","286.50","+8.50","16,721",
"108/10/09","34,895,456","9,890,256,397","283.50","286.00","282.00","282.00","-4.50","14,567",
"108/10/14","53,403,517","15,508,059,122","291.50","291.50","288.50","290.00","+8.00","17,812",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

