10806る 2330 縩筿           らΘユ戈癟,,,,,,,,
ら戳,Θユ计,Θユ肂,秨絃基,程蔼基,程基,Μ絃基,害禴基畉,Θユ掸计
108/06/03,"36,687,092","8,651,389,851",235.5,238.5,232,238,2.5,"8,857"
108/06/04,"24,443,428","5,745,045,809",237.5,238,233,233,-5,"11,779"
108/06/05,"35,901,584","8,461,930,934",238,238,234,235,2,"12,064"
108/06/06,"34,651,731","8,008,768,323",231.5,232,229.5,232,-3,"14,723"
108/06/10,"35,521,888","8,442,986,620",237.5,240,234.5,240,8,"15,588"
108/06/11,"34,691,670","8,448,805,962",240,246,239,244.5,4.5,"13,157"
108/06/12,"30,409,556","7,469,805,086",244.5,247.5,243,246,1.5,"11,457"
108/06/13,"33,731,724","8,136,137,708",242.5,244,240,240,-6,"13,552"
108/06/14,"35,403,556","8,396,819,832",238.5,239.5,236,236,-4,"14,911"
108/06/17,"51,692,012","12,043,369,475",231.5,235,230.5,233,-3,"20,943"
108/06/18,"28,798,087","6,758,454,612",234,235.5,233,235.5,2.5,"9,681"
108/06/19,"50,234,372","12,181,979,568",242.5,244,240.5,244,8.5,"20,528"
108/06/20,"39,717,291","9,697,726,719",242,245.5,241,245,1,"13,879"
108/06/21,"62,136,304","15,398,139,830",248,248.5,246,248.5,3.5,"19,049"
108/06/24,"43,460,507","10,476,936,660",241,242,240,241,0,"17,780"
108/06/25,"29,735,283","7,118,002,390",241,241.5,237,238.5,-2.5,"11,130"
108/06/26,"28,770,041","6,757,991,717",235,236.5,234,234.5,-4,"13,535"
108/06/27,"42,007,834","10,063,332,494",236,241.5,236,240.5,6,"14,983"
108/06/28,"28,085,212","6,715,488,371",241.5,241.5,238,239,-1.5,"8,987"
108/07/01,"66,370,875","16,445,222,750",245.5,250,245,248.5,9.5,"29,551"
108/07/02,"26,832,202","6,671,951,743",249.5,250,247.5,249,0.5,"12,531"
108/07/03,"29,549,774","7,190,777,082",244,245,242,242.5,-6.5,"16,033"
108/07/04,"18,691,240","4,561,556,160",244.5,245,242.5,244,1.5,"8,565"
108/07/05,"27,317,074","6,624,379,927",244.5,245,241.5,243,-1,"9,013"
108/07/08,"29,190,909","7,057,462,187",240,244.5,240,242.5,-0.5,"10,552"
108/07/09,"16,538,987","3,998,096,596",241.5,243,240.5,242,-0.5,"6,486"
108/07/10,"23,812,131","5,839,691,357",243,247,243,247,5,"12,366"
108/07/11,"31,296,289","7,809,358,257",250,250,247.5,250,3,"14,360"
108/07/12,"23,868,432","5,984,689,000",252,252,249.5,250.5,0.5,"8,363"
108/07/15,"34,264,300","8,663,129,910",251,254.5,249.5,254.5,4,"12,174"
108/07/16,"26,141,249","6,678,755,679",254,256.5,253.5,256,1.5,"8,994"
108/07/17,"34,346,648","8,686,815,824",254,254,251,252,-4,"11,106"
108/07/18,"20,908,575","5,300,082,470",252,254.5,251.5,254,2,"8,245"
108/07/19,"59,879,798","15,573,278,932",259.5,261,259,259,5,"21,827"
108/07/22,"31,863,639","8,385,222,407",263,264,262,264,5,"13,424"
108/07/23,"29,273,223","7,734,089,131",265.5,266.5,262.5,264,0,"12,791"
108/07/24,"24,511,039","6,484,708,226",266.5,266.5,263,265,1,"10,617"
108/07/25,"30,698,545","8,091,922,380",264,265,261.5,265,0,"10,643"
108/07/26,"20,768,071","5,434,082,968",261,262.5,261,261,-4,"8,850"
108/07/29,"18,473,320","4,822,762,518",260,262,259.5,261,0,"6,681"
108/07/30,"22,895,612","5,975,389,270",262.5,263,260,260,-1,"7,191"
108/07/31,"36,365,601","9,413,416,604",260,260,257,259.5,-0.5,"10,468"
108/08/01,"30,107,526","7,722,031,382",257.5,257.5,255.5,256.5,-3,"11,372"
108/08/02,"54,165,644","13,627,068,452",252,253.5,250.5,251.5,-5,"18,096"
108/08/05,"52,835,721","13,092,403,583",251,252,245.5,246.5,-5,"20,136"
108/08/06,"58,916,879","14,440,787,992",240,250,240,248.5,2,"22,358"
108/08/07,"29,435,460","7,305,272,500",250,250.5,246.5,248,-0.5,"11,208"
108/08/08,"30,140,266","7,599,200,564",248,254,248,253.5,5.5,"11,228"
108/08/12,"24,732,603","6,242,935,989",254.5,254.5,251,251,-2.5,"8,415"
108/08/13,"25,045,107","6,204,239,476",249,249.5,246.5,246.5,-4.5,"11,377"
108/08/14,"36,336,703","9,142,333,535",252.5,254,249.5,249.5,3,"13,609"
108/08/15,"28,277,412","6,994,442,633",247,248.5,246,248,-1.5,"10,852"
108/08/16,"25,696,715","6,420,744,887",249.5,252,248,250,2,"8,994"
108/08/19,"25,098,514","6,326,683,127",251.5,253,250.5,252,2,"9,398"
108/08/20,"20,620,494","5,233,263,533",254,254.5,252.5,254.5,2.5,"8,214"
108/08/21,"20,269,296","5,152,545,480",254.5,255,253,254.5,0,"7,383"
108/08/22,"22,136,840","5,659,296,700",257,257.5,254,254,-0.5,"8,794"
108/08/23,"14,772,877","3,748,071,178",253.5,254.5,253,254,0,"5,663"
108/08/26,"31,740,620","7,910,873,500",249,250.5,248.5,248.5,-5.5,"13,388"
108/08/27,"53,664,951","13,410,582,151",250.5,251,248.5,250,1.5,"8,939"
108/08/28,"15,280,882","3,852,096,070",250.5,253,250.5,252,2,"6,829"
108/08/29,"20,085,767","5,078,703,588",253,254,251,254,2,"6,596"
108/08/30,"35,299,201","9,092,482,858",256.5,259,256,259,5,"13,703"
108/09/02,"14,776,854","3,800,453,292",258,258,256,257.5,-1.5,"7,608"
108/09/03,"26,086,495","6,642,868,555",256.5,258,253,254,-3.5,"11,210"
108/09/04,"23,697,733","6,081,456,520",254,258,254,257.5,3.5,"9,291"
108/09/05,"49,041,728","12,869,665,251",263,263,260.5,263,5.5,"22,796"
108/09/06,"26,609,515","7,016,868,801",265,265,263,263.5,0.5,"11,957"
108/09/09,"17,317,833","4,585,545,966",265.5,266,263.5,265,1.5,"8,762"
108/09/10,"30,019,866","7,862,297,242",263.5,264,260.5,261.5,-3.5,"11,831"
108/09/11,"36,266,015","9,508,884,445",264,264.5,260.5,263,1.5,"12,058"
108/09/12,"38,792,293","10,198,483,555",265,265,261.5,262.5,-0.5,"8,282"
108/09/16,"38,913,966","10,258,240,252",262,265.5,261.5,265.5,3,"11,120"
108/09/17,"30,069,844","7,979,032,930",266.5,266.5,264.5,265,-0.5,"9,222"
108/09/18,"51,360,759","13,754,334,364",267,269.5,266.5,267,2,"17,993"
108/09/19,"27,165,567","7,216,457,755",268,268,264,265,0,"10,194"
108/09/20,"44,555,865","11,785,924,559",266,266.5,264,264,-1,"9,109"
108/09/23,"14,220,208","3,749,146,092",264,264,263,264,0,"5,647"
108/09/24,"24,304,943","6,419,420,695",263.5,265.5,262,265,1,"9,180"
108/09/25,"23,244,163","6,144,037,875",262.5,266,262,266,1,"7,145"
108/09/26,"34,128,103","9,139,219,995",269,269.5,266.5,268,2,"11,861"
108/09/27,"44,242,817","12,021,629,536",271.5,272.5,271,272,4,"16,626"
108/10/01,"75,248,890","20,886,838,992",273,280.5,273,280,8,"26,648"
108/10/02,"30,572,953","8,553,297,334",280,281,279,279.5,-0.5,"12,294"
108/10/03,"35,874,864","9,891,620,358",274,277.5,274,276.5,-3,"12,853"
108/10/04,"35,814,613","9,924,872,301",279.5,280,275,276.5,0,"13,780"
108/10/07,"17,750,230","4,944,376,000",279,279.5,277.5,278,1.5,"7,757"
108/10/08,"39,868,551","11,341,522,526",283.5,286.5,282.5,286.5,8.5,"16,721"
108/10/09,"34,895,456","9,890,256,397",283.5,286,282,282,-4.5,"14,567"
