Customer ID ,Gender ,Car Type ,Shirt Size ,Class 
1,M ,Family ,Small ,C0 
2,M ,Sports ,Medium ,C0 
3,M ,Sports ,Medium ,C0 
4,M ,Sports ,Large ,C0 
5,M ,Sports ,Extra Large ,C0 
6,M ,Sports ,Extra Large ,C0 
7,F ,Family ,Large ,C0 
8,F ,Sports ,Small ,C0 
9,F ,Sports ,Medium ,C0 
10,F ,Luxury ,Large ,C0 
11,M ,Family ,Large ,C0 
12,M ,Family ,Extra Large ,C0 
13,M ,Family ,Medium ,C1 
14,M ,Luxury ,Extra Large ,C1 
15,F ,       Family ,        Large ,C1 
16,F ,Luxury ,Small ,C1 
17,F ,Luxury ,Medium ,C1 
18,F ,Luxury ,Medium ,C1 
19,F ,Luxury ,Medium ,C1 
20,F ,Luxury ,Large ,C1 
